,State,Year,Data
881,Illinois,1977,51314
882,Indiana,1977,38768
883,Kansas,1977,6852
884,Kentucky,1977,64140
885,Louisiana,1977,46692
886,Massachusetts,1977,63357
887,Maryland,1977,59569
888,Maine,1977,72689
889,Michigan,1977,54719
890,Minnesota,1977,36725
891,Missouri,1977,37981
892,Mississippi,1977,36230
893,Montana,1977,97331
894,North Carolina,1977,146565
895,North Dakota,1977,21338
896,Nebraska,1977,16136
897,New Hampshire,1977,31271
898,New Jersey,1977,38510
899,New Mexico,1977,7328
900,Nevada,1977,18381
901,New York,1977,342161
902,Ohio,1977,58582
903,Oklahoma,1977,32743
904,Oregon,1977,327769
905,Pennsylvania,1977,84322
906,Rhode Island,1977,5295
907,South Carolina,1977,80884
908,South Dakota,1977,57133
909,Tennessee,1977,176225
910,Texas,1977,82566
911,Utah,1977,11709
912,Virginia,1977,73803
913,Vermont,1977,19373
914,Washington,1977,773465
915,Wisconsin,1977,74518
916,West Virginia,1977,24320
917,Wyoming,1977,9937
918,Alaska,1978,10809
919,Alabama,1978,148341
920,Arkansas,1978,77088
921,Arizona,1978,79870
922,California,1978,576601
923,Colorado,1978,29391
924,Connecticut,1978,26391
925,District of Columbia,1978,193
926,Delaware,1978,10667
927,Florida,1978,65357
928,Georgia,1978,138170
929,Hawaii,1978,1143
930,Iowa,1978,19287
931,Idaho,1978,119334
932,Illinois,1978,62925
933,Indiana,1978,45814
934,Kansas,1978,7540
935,Kentucky,1978,70514
936,Louisiana,1978,47825
937,Massachusetts,1978,67677
938,Maryland,1978,59254
939,Maine,1978,74889
940,Michigan,1978,66270
941,Minnesota,1978,50237
942,Missouri,1978,49657
943,Mississippi,1978,37576
944,Montana,1978,132188
945,North Carolina,1978,159172
946,North Dakota,1978,31963
947,Nebraska,1978,16096
948,New Hampshire,1978,31004
949,New Jersey,1978,41662
950,New Mexico,1978,7989
951,Nevada,1978,18980
952,New York,1978,354864
953,Ohio,1978,69632
954,Oklahoma,1978,37416
955,Oregon,1978,408647
956,Pennsylvania,1978,90536
957,Rhode Island,1978,6577
958,South Carolina,1978,83872
959,South Dakota,1978,72806
960,Tennessee,1978,163042
961,Texas,1978,84175
962,Utah,1978,12093
963,Virginia,1978,86397
964,Vermont,1978,20504
965,Washington,1978,1002202
966,Wisconsin,1978,90777
967,West Virginia,1978,27252
968,Wyoming,1978,12774
969,Alaska,1979,10733
970,Alabama,1979,190737
971,Arkansas,1979,80773
972,Arizona,1979,83414
973,California,1979,559806
974,Colorado,1979,33170
975,Connecticut,1979,29359
976,District of Columbia,1979,210
977,Delaware,1979,8729
978,Florida,1979,69419
979,Georgia,1979,149144
980,Hawaii,1979,1258
981,Iowa,1979,18947
982,Idaho,1979,113729
983,Illinois,1979,64626
984,Indiana,1979,51858
985,Kansas,1979,7928
986,Kentucky,1979,82531
987,Louisiana,1979,44717
988,Massachusetts,1979,74298
989,Maryland,1979,66329
990,Maine,1979,76896
991,Michigan,1979,73877
992,Minnesota,1979,53947
993,Missouri,1979,55940
994,Mississippi,1979,37510
995,Montana,1979,119406
996,North Carolina,1979,191639
997,North Dakota,1979,28886
998,Nebraska,1979,16832
999,New Hampshire,1979,33548
1000,New Jersey,1979,43101
1001,New Mexico,1979,9922
1002,Nevada,1979,19804
1003,New York,1979,368358
1004,Ohio,1979,74657
1005,Oklahoma,1979,46806
1006,Oregon,1979,387287
1007,Pennsylvania,1979,106837
1008,Rhode Island,1979,7124
1009,South Carolina,1979,91528
1010,South Dakota,1979,67819
1011,Tennessee,1979,207250
1012,Texas,1979,89721
1013,Utah,1979,13634
1014,Virginia,1979,95181
1015,Vermont,1979,22340
1016,Washington,1979,900631
1017,Wisconsin,1979,92876
1018,West Virginia,1979,33875
1019,Wyoming,1979,13906
1020,Alaska,1980,8321
1021,Alabama,1980,238766
1022,Arkansas,1980,69996
1023,Arizona,1980,120006
1024,California,1980,591928
1025,Colorado,1980,28582
1026,Connecticut,1980,43748
1027,District of Columbia,1980,2849
1028,Delaware,1980,2472
1029,Florida,1980,90049
1030,Georgia,1980,144038
1031,Hawaii,1980,12808
1032,Iowa,1980,58556
1033,Idaho,1980,113407
1034,Illinois,1980,92366
1035,Indiana,1980,56145
1036,Kansas,1980,9088
1037,Kentucky,1980,55822
